ађКХ,УћГЦ,КёЖШ/m,ЕЏадФЃСП/Gpa,Шнжи/kN*m-3,ПЙР­ЧПЖШ/MPa
75,ИЏжГЭС,0.5,,,
74,ЯИЩАбв,53.65,,,
73,ЗлЩАбв,9.7,,,
72,ЩАжЪРљбв,18.3,,,
71,Фрбв,1.75,,,
70,ЯИЩАбв,6,,,
69,ЩАжЪРљбв,34.15,,,
68,жаЩАбв,1,,,
67,15-4УК,6,,,
66,ЗлЩАбв,0.4,,,
65,ЯИЩАбв,1.6,,,
64,ЩАжЪРљбв,15.35,,,
63,ЗлЩАбв,3,,,
62,15-5ЩЯУК,4.4,,,
61,ЬПжЪФрбв,0.4,,,
60,ЗлЩАбв,1.9,,,
59,15-5ЯТУК,4.2,,,
58,ЗлЩАбв,3.6,,,
57,ЬПжЪФрбв,0.4,,,
56,ЗлЩАбв,6.9,,,
55,ЬПжЪФрбв,0.5,,,
54,ЗлЩАбв,4.3,,,
53,Фрбв,0.4,,,
52,ЗлЩАбв,4.6,,,
51,ЬПжЪФрбв,0.6,,,
50,ЗлЩАбв,2.4,,,
49,ЩАжЪРљбв,6.4,,,
48,ЯИЩАбв,1,,,
47,ЩАжЪРљбв,3.65,,,
46,15-6УК,0.7,,,
45,ЗлЩАбв,3.1,,,
44,Фрбв,2,,,
43,ЩАжЪРљбв,25.35,,,
42,ЩАжЪФрбв,0.5,,,
41,Фрбв,5,,,
40,15-7УК,2.4,,,
39,Фрбв,0.9,,,
38,ЯИЩАбв,1.8,,,
37,Рљбв,9.65,,,
36,Фрбв,1.3,,,
35,ЗлЩАбв,2,,,
34,Фрбв,4.7,,,
33,ЗлЩАбв,2,,,
32,ЩАжЪРљбв,20.3,,,
31,Фрбв,0.4,,,
30,ЗлЩАбв,0.5,,,
29,ДжЩАбв,2.6,,,
28,ЗлЩАбв,1.9,,,
27,ЯИЩАбв,1,,,
26,ЗлЩАбв,6.5,,,
25,ЬПжЪФрбв,0.5,,,
24,ЗлЩАбв,6.9,,,
23,16-1УК,4.55,,,
22,ЯИЩАбв,0.9,,,
21,ЗлЩАбв,0.7,,,
20,Фрбв,0.6,,,
19,ЗлЩАбв,6.55,,,
18,ЯИЩАбв,2,,,
17,ЗлЩАбв,6.25,,,
16,ЯИЩАбв,1.8,,,
15,ЗлЩАбв,3.95,,,
14,Фрбв,0.4,,,
13,ЗлЩАбв,7.3,,,
12,16-2ЩЯУК,1.2,,,
11,ЗлЩАбв,16.15,,,
10,16-2ЯТУК,2,,,
9,ЗлЩАбв,6,,,
8,Фрбв,8.9,,,
7,ЯИЩАбв,3,,,
6,ДжЩАбв,5.9,,,
5,ЩАжЪРљбв,21.5,,,
4,16-3ЩЯУК,12.8,,,
3,ЗлЩАбв,3.4,,,
2,16-3УК,22,,,
1,ЗлЩАбв,26.95,,,
