ађКХ,УћГЦ,КёЖШ/m,ЕЏадФЃСП/Gpa,Шнжи/kN*m-3,ПЙР­ЧПЖШ/MPa
73,ИЏжГЭС,0.5,,,
72,ЯИЩАбв,7.3,,,
71,№ЄЭС,16.65,,,
70,ЩАжЪРљбв,23.5,,,
69,Фрбв,2.9,,,
68,ЩАжЪРљбв,29.65,,,
67,Фрбв,4.65,,,
66,УК,1.8,,,
65,Фрбв,1.1,,,
64,ЯИЩАбв,5.15,,,
63,15-1ЩЯУК,4.35,,,
62,ЯИЩАбв,18.15,,,
61,15-1ЯТУК,4.2,,,
60,ЗлЩАбв,20.25,,,
59,жаРљбв,4.5,,,
58,ЗлЩАбв,2.9,,,
57,ЩАжЪРљбв,12.3,,,
56,ЯИЩАбв,2.85,,,
55,15-2УК,2.95,,,
54,ЩАжЪФрбв,9.2,,,
53,15-3УК,6.9,,,
52,Фрбв,2.25,,,
51,ЩАжЪРљбв,21.3,,,
50,УК,0.8,,,
49,ЩАжЪФрбв,7.9,,,
48,УК,1.5,,,
47,Фрбв,1.3,,,
46,ДжЩАбв,1.6,,,
45,ЩАжЪРљбв,11.55,,,
44,15-4УК,1.2,,,
43,ЩАжЪФрбв,14.35,,,
42,15-5ЩЯУК,1.8,,,
41,ЩАжЪФрбв,46.45,,,
40,жаЩАбв,4.4,,,
39,ЩАжЪРљбв,6.1,,,
38,ЩАжЪФрбв,7.05,,,
37,15-6УК,0.8,,,
36,жаЩАбв,4.8,,,
35,ЩАжЪРљбв,15.5,,,
34,ЩАжЪФрбв,17.6,,,
33,ЬПжЪФрбв,0.65,,,
32,15-7УК,2.15,,,
31,ЩАжЪФрбв,16.9,,,
30,ЬПжЪФрбв,1.7,,,
29,ЩАжЪФрбв,3.3,,,
28,ЩАжЪРљбв,26.55,,,
27,Фрбв,4.5,,,
26,УК,2,,,
25,ЩАжЪФрбв,8.25,,,
24,16-1УК,1.55,,,
23,ЯИЩАбв,7.3,,,
22,ЩАжЪФрбв,12.7,,,
21,16-2ЩЯУК,2.4,,,
20,ЬПжЪФрбв,0.6,,,
19,Фрбв,2.61,,,
18,КЌЬМФрбв,0.7,,,
17,ЩАжЪФрбв,0.81,,,
16,16-2ЯТУК,1.88,,,
15,ЩАжЪФрбв,46.85,,,
14,КЌЬМФрбв,1.6,,,
13,УК,1.1,,,
12,ЩАжЪФрбв,9.35,,,
11,УК,0.7,,,
10,ЩАжЪФрбв,3.3,,,
9,16-3УК,43.9,,,
8,Фрбв,1.1,,,
7,ЯИЩАбв,1.55,,,
6,ЩАжЪФрбв,2.35,,,
5,УК,0.9,,,
4,ЩАжЪФрбв,3.2,,,
3,КЌЬМФрбв,3.45,,,
2,16-4УК,3.7,,,
1,ЯИЩАбв,5.55,,,
