ађКХ,УћГЦ,КёЖШ/m,ЕЏадФЃСП/Gpa,Шнжи/kN*m-3,ПЙР­ЧПЖШ/MPa
41,ИЏжГЭС,0.5,,,
40,ЯИЩАбв,6.24,,,
39,Рљбв,45.33,,,
38,Фрбв,3.13,,,
37,ДжЩАбв,3.47,,,
36,Фрбв,5.4,,,
35,жаРљбв,10.5,,,
34,ЗлЩАбв,7.4,,,
33,Фрбв,2.8,,,
32,жаРљбв,12.29,,,
31,ЗлЩАбв,9.45,,,
30,Фрбв,1.63,,,
29,15-5ЯТУК,0.6,,,
28,Фрбв,13,,,
27,ДжЩАбв,2.36,,,
26,Фрбв,6.1,,,
25,ЗлЩАбв,23.98,,,
24,Фрбв,9.07,,,
23,ЗлЩАбв,4.65,,,
22,жаРљбв,13.31,,,
21,Фрбв,12.5,,,
20,жаРљбв,28.8,,,
19,Фрбв,25.5,,,
18,ЗлЩАбв,22.8,,,
17,жаРљбв,4.4,,,
16,ЗлЩАбв,9.1,,,
15,ДжЩАбв,1.6,,,
14,ЗлЩАбв,4.3,,,
13,ДжЩАбв,4.4,,,
12,ЗлЩАбв,14.2,,,
11,Фрбв,5.1,,,
10,УК2,0.35,,,
9,Фрбв,2.5,,,
8,16-3ЩЯУК,5.95,,,
7,Фрбв,6.7,,,
6,16-3жаУК,2.3,,,
5,Фрбв,13.39,,,
4,УК1,1.3,,,
3,Фрбв,7.63,,,
2,16-3УК,15.87,,,
1,Фрбв,12,,,
