ађКХ,УћГЦ,КёЖШ/m,ЕЏадФЃСП/Gpa,Шнжи/kN*m-3,ПЙР­ЧПЖШ/MPa
52,ИЏжГЭС,0.8,,,
51,ЯИЩАбв,53.65,,,
50,КЌРљЯИЩАбв,14.85,,,
49,Рљбв,2.8,,,
48,Фрбв,11.25,,,
47,ЗлЩАбв,8,,,
46,Фрбв,16.3,,,
45,жаРљбв,8.4,,,
44,ЯИЩАбв,13,,,
43,ЗлЩАбв,28.15,,,
42,жаРљбв,16.85,,,
41,жаЩАбв,19.45,,,
40,ЗлЩАбв,5.4,,,
39,ЬПжЪФрбв,1.7,,,
38,ЗлЩАбв,1.1,,,
37,ЬПжЪФрбв,0.7,,,
36,ЗлЩАбв,8.8,,,
35,УК3,0.2,,,
34,ЗлЩАбв,12.6,,,
33,15-7УК,0.6,,,
32,КЌРљЗлЩАбв,46.9,,,
31,жаРљбв,0.65,,,
30,ЗлЩАбв,4,,,
29,жаРљбв,2.5,,,
28,КЌРљЗлЩАбв,8.3,,,
27,жаРљбв,1.2,,,
26,КЌРљЗлЩАбв,2.4,,,
25,жаРљбв,6.55,,,
24,ЗлЩАбв,22.05,,,
23,16-2ЩЯУК,0.7,,,
22,ЗлЩАбв,2,,,
21,16-2ЯТУК,0.8,,,
20,ЗлЩАбв,24,,,
19,Фрбв,0.5,,,
18,УК2,0.2,,,
17,ЗлЩАбв,17.9,,,
16,ЬПжЪФрбв,1,,,
15,ЗлЩАбв,14.9,,,
14,ЯИЩАбв,6.65,,,
13,ЗлЩАбв,2.6,,,
12,УК1,0.3,,,
11,ЗлЩАбв,9.25,,,
10,16-3ЩЯУК,5.8,,,
9,ЗлЩАбв,1.05,,,
8,ЬПжЪФрбв,0.4,,,
7,ЗлЩАбв,0.45,,,
6,Фрбв,0.55,,,
5,16-3жаУК,1.5,,,
4,Фрбв,1.25,,,
3,16-3УК,19.3,,,
2,ЗлЩАбв,19,,,
1,ДжЩАбв,11.4,,,
