ађКХ,УћГЦ,КёЖШ/m,ЕЏадФЃСП/Gpa,Шнжи/kN*m-3,ПЙР­ЧПЖШ/MPa
42,ИЏжГЭС,0.4,,,
41,ЗлЩАбв,8.07,,,
40,№ЄЭС,45,,,
39,15-3УК,0.76,,,
38,Фрбв,25.58,,,
37,жаРљбв,13.31,,,
36,ЩАжЪФрбв,6.55,,,
35,15-4УК,0.4,,,
34,ЩАжЪФрбв,27.6,,,
33,15-5ЩЯУК,0.4,,,
32,жаРљбв,12.8,,,
31,Фрбв,8.77,,,
30,жаРљбв,8.23,,,
29,Фрбв,5.32,,,
28,жаРљбв,14.88,,,
27,Фрбв,8.1,,,
26,жаРљбв,18,,,
25,Фрбв,7.45,,,
24,жаРљбв,24.65,,,
23,Фрбв,4.5,,,
22,жаРљбв,13.2,,,
21,Фрбв,4.8,,,
20,жаРљбв,59.73,,,
19,Фрбв,11.47,,,
18,жаРљбв,5.9,,,
17,ЗлЩАжЪФрбв,41.9,,,
16,жаРљбв,6.9,,,
15,Фрбв,5.2,,,
14,жаРљбв,8,,,
13,Фрбв,7.5,,,
12,ДжЩАбв,6.6,,,
11,УК,0.8,,,
10,ДжЩАбв,3.9,,,
9,16-3ЩЯУК,3.48,,,
8,Фрбв,6.22,,,
7,16-3жаУК,1,,,
6,Фрбв,3.9,,,
5,УК,0.3,,,
4,Фрбв,4.2,,,
3,16-3УК,20.2,,,
2,Фрбв,1.9,,,
1,ДжЩАбв,14.18,,,
