ађКХ,УћГЦ,КёЖШ/m,ЕЏадФЃСП/Gpa,Шнжи/kN*m-3,ПЙР­ЧПЖШ/MPa
76,ИЏжГЭС,0.5,,,
75,ЯИЩАбв,23.8,,,
74,Фрбв,3.4,,,
73,15-1ЩЯУК,2.7,,,
72,Фрбв,0.7,,,
71,15-1ЯТУК,0.9,,,
70,Фрбв,9.35,,,
69,жаРљбв,16.4,,,
68,ЯИЩАбв,2.75,,,
67,жаРљбв,16.55,,,
66,ЗлЩАбв,1,,,
65,ЬПжЪФрбв,0.5,,,
64,жаРљбв,43.35,,,
63,ЗлЩАбв,2.2,,,
62,15-4УК,3.2,,,
61,ЬПжЪФрбв,0.45,,,
60,ЗлЩАбв,1.4,,,
59,Фрбв,0.6,,,
58,ЗлЩАбв,2.7,,,
57,жаРљбв,13.75,,,
56,ЗлЩАбв,4.4,,,
55,15-5ЩЯУК,1.9,,,
54,ЬПжЪФрбв,0.9,,,
53,15-5ЯТУК,5.4,,,
52,ЯИЩАбв,1.85,,,
51,ЬПжЪФрбв,1.1,,,
50,ЯИЩАбв,4.6,,,
49,жаРљбв,9.5,,,
48,ЯИЩАбв,1.65,,,
47,жаРљбв,17.7,,,
46,15-6УК,0.85,,,
45,ЯИЩАбв,3.3,,,
44,жаРљбв,21.35,,,
43,ЗлЩАбв,3,,,
42,ЬПжЪФрбв,0.5,,,
41,ЗлЩАбв,1.6,,,
40,15-7УК,1.2,,,
39,ЗлЩАбв,1.85,,,
38,жаЩАбв,1.5,,,
37,ЗлЩАбв,2.5,,,
36,жаРљбв,16.55,,,
35,ЗлЩАбв,4.25,,,
34,жаРљбв,57.5,,,
33,ЗлЩАбв,1,,,
32,Фрбв,0.95,,,
31,ЗлЩАбв,0.9,,,
30,ЬПжЪФрбв,0.5,,,
29,ЗлЩАбв,1.6,,,
28,16-1УК,2.8,,,
27,ЬПжЪФрбв,1.8,,,
26,ЗлЩАбв,0.5,,,
25,Фрбв,0.7,,,
24,ЗлЩАбв,2.8,,,
23,Фрбв,1.3,,,
22,ЗлЩАбв,1,,,
21,ЬПжЪФрбв,0.5,,,
20,ЗлЩАбв,2.75,,,
19,жаРљбв,13.75,,,
18,ЗлЩАбв,2.15,,,
17,ЬПжЪФрбв,0.5,,,
16,ЗлЩАбв,2,,,
15,Фрбв,1.1,,,
14,ЯИЩАбв,4.35,,,
13,16-2ЩЯУК,2.6,,,
12,ЗлЩАбв,4.2,,,
11,16.2ЯТУК,2.6,,,
10,ЗлЩАбв,0.6,,,
9,ЬПжЪФрбв,1,,,
8,ЗлЩАбв,11.35,,,
7,жаРљбв,43.15,,,
6,16-3УК,42.4,,,
5,ЗлЩАбв,0.5,,,
4,жаРљбв,9.9,,,
3,ЗлЩАбв,4.1,,,
2,16-4УК,0.8,,,
1,ЗлЩАбв,9.85,,,
