ађКХ,УћГЦ,КёЖШ/m,ЕЏадФЃСП/Gpa,Шнжи/kN*m-3,ПЙР­ЧПЖШ/MPa
58,ИЏжГЭС,0.5,,,
57,ЯИЩАбв,3.5,,,
56,№ЄЭС,8.1,,,
55,ЗлЩАбв,8.65,,,
54,ЯИЩАбв,29.25,,,
53,жаРљбв,14.3,,,
52,ЗлЩАбв,4.7,,,
51,ДжЩАбв,3.25,,,
50,жаРљбв,4.65,,,
49,ЗлЩАбв,4.8,,,
48,ЬПжЪФрбв,9.5,,,
47,15-5ЯТУК,2.65,,,
46,ЗлЩАбв,7,,,
45,Фрбв,1.2,,,
44,жаРљбв,3.45,,,
43,ЗлЩАбв,4.4,,,
42,Фрбв,5.1,,,
41,15-6УК,1,,,
40,жаРљбв,9.3,,,
39,ДжЩАбв,6,,,
38,ЗлЩАбв,5,,,
37,жаРљбв,13.6,,,
36,ЗлЩАбв,13.3,,,
35,ЬПжЪФрбв,1,,,
34,ЗлЩАбв,10.1,,,
33,жаРљбв,1.5,,,
32,ЗлЩАбв,5.85,,,
31,ЯИЩАбв,1.2,,,
30,Фрбв,2.15,,,
29,жаРљбв,21.5,,,
28,ЗлЩАбв,12.6,,,
27,16-1УК,1,,,
26,ЬПжЪФрбв,10.7,,,
25,ЯИЩАбв,1,,,
24,ЗлЩАбв,3.55,,,
23,ЯИЩАбв,1,,,
22,ЗлЩАбв,1.6,,,
21,ЯИЩАбв,1.2,,,
20,ЗлЩАбв,11.9,,,
19,жаРљбв,6.45,,,
18,ЗлЩАбв,15.1,,,
17,ЬПжЪФрбв,0.35,,,
16,ЗлЩАбв,5.9,,,
15,16-2ЯТУК,2.6,,,
14,ЗлЩАбв,18.6,,,
13,ЬПжЪФрбв,1.42,,,
12,ЗлЩАбв,4.86,,,
11,ЬПжЪФрбв,0.69,,,
10,ЗлЩАбв,3.57,,,
9,16-3ЩЯУК,18.85,,,
8,ЬПжЪФрбв,1.4,,,
7,ЗлЩАбв,3.35,,,
6,16-3жаУК,3.03,,,
5,ЗлЩАбв,5.17,,,
4,16-3УК,25.29,,,
3,ЬПжЪФрбв,10,,,
2,16-4УК,1.17,,,
1,ЯИЩАбв,3.4,,,
