ађКХ,УћГЦ,КёЖШ/m,ЕЏадФЃСП/Gpa,Шнжи/kN*m-3,ПЙР­ЧПЖШ/MPa
63,БэЭС,0.5,,,
62,ЗлЩАбв,5.96,,,
61,Рљбв,10.62,,,
60,ДжЩАбв,5.44,,,
59,Фрбв,2,,,
58,жаРљбв,31.16,,,
57,Фрбв,9.82,,,
56,15-1ЩЯУК,2.18,,,
55,ЗлЩАбв,2.12,,,
54,ЬПжЪФрбв,1.1,,,
53,Фрбв,4.68,,,
52,ЗлЩАбв,11.14,,,
51,Фрбв,1.98,,,
50,15-1ЯТУК,3.35,,,
49,ЯИЩАбв,43.73,,,
48,ЗлЩАжЪФрбв,4.67,,,
47,15-3УК,4,,,
46,ЯИЩАбв,39.92,,,
45,УК7,0.8,,,
44,Фрбв,9.54,,,
43,15-4УК,1.74,,,
42,Фрбв,3.71,,,
41,жаРљбв,9.34,,,
40,ЗлЩАбв,1,,,
39,15-5ЩЯУК,2.45,,,
38,ЗлЩАбв,6.4,,,
37,15-5ЯТУК,3.2,,,
36,ЗлЩАбв,45.37,,,
35,Фрбв,9.77,,,
34,15-6УК,1,,,
33,Фрбв,1.51,,,
32,ЗлЩАбв,4.1,,,
31,ЯИЩАбв,2.03,,,
30,жаРљбв,11.9,,,
29,ЗлЩАбв,17.92,,,
28,15-7УК,2.22,,,
27,ЗлЩАбв,10.76,,,
26,КЌРљЯИЩАбв,8.55,,,
25,ЗлЩАбв,4.94,,,
24,жаРљбв,20.01,,,
23,ЗлЩАбв,14.32,,,
22,УК6,0.6,,,
21,ЗлЩАбв,1.8,,,
20,16-1УК,3.4,,,
19,Фрбв,19.2,,,
18,УК5,0.6,,,
17,Фрбв,18.4,,,
16,16-2ЯТУК,0.5,,,
15,ЗлЩАбв,18.1,,,
14,УК4,1.4,,,
13,ЗлЩАбв,2,,,
12,УК3,4.4,,,
11,КЌРљДжЩАбв,31.85,,,
10,16-3УК,35.96,,,
9,ЗлЩАжЪФрбв,2.4,,,
8,УК2,0.6,,,
7,ЗлЩАжЪФрбв,8.49,,,
6,ЬПжЪФрбв,0.8,,,
5,ЗлЩАжЪФрбв,3,,,
4,УК1,0.7,,,
3,ЗлЩАжЪФрбв,9.8,,,
2,16-4УК,5.2,,,
1,ЗлЩАбв,10.98,,,
