ађКХ,УћГЦ,КёЖШ/m,ЕЏадФЃСП/Gpa,Шнжи/kN*m-3,ПЙР­ЧПЖШ/MPa
67,ИЏжГЭС,0.6,,,
66,ЯИЩАбв,48.1,,,
65,ЗлЩАбв,2.8,,,
64,жаРљбв,22.3,,,
63,ДжЩАбв,1.82,,,
62,жаРљбв,23.52,,,
61,ЗлЩАбв,2.59,,,
60,15-4УК,0.9,,,
59,ЗлЩАбв,2.61,,,
58,жаРљбв,16.76,,,
57,Фрбв,2.1,,,
56,15-5ЩЯУК,1.73,,,
55,Фрбв,5.7,,,
54,15-5ЯТУК,2.02,,,
53,ЬПжЪФрбв,1.6,,,
52,Фрбв,3.5,,,
51,жаРљбв,0.8,,,
50,ЗлЩАбв,11.25,,,
49,жаРљбв,6.2,,,
48,ЗлЩАбв,5.4,,,
47,жаРљбв,11.3,,,
46,15-6УК,1,,,
45,жаЩАбв,4.4,,,
44,ЗлЩАбв,3,,,
43,жаРљбв,18.5,,,
42,ЗлЩАбв,3.1,,,
41,Фрбв,2.83,,,
40,15-7УК,3.2,,,
39,Фрбв,5.85,,,
38,жаРљбв,10.67,,,
37,Фрбв,3.8,,,
36,жаРљбв,29.8,,,
35,ЗлЩАбв,4.6,,,
34,жаРљбв,4.2,,,
33,Фрбв,7.45,,,
32,16-1УК,1.81,,,
31,ЗлЩАбв,10.5,,,
30,Фрбв,0.5,,,
29,ЗлЩАбв,5,,,
28,КЌРљЯИЩАбв,6.3,,,
27,ДжЩАбв,11.48,,,
26,ЯИЩАбв,3.97,,,
25,ЗлЩАбв,7.2,,,
24,Фрбв,2.4,,,
23,ЗлЩАбв,4.7,,,
22,Фрбв,8.3,,,
21,16-2ЩЯУК,0.49,,,
20,ЯИЩАбв,1.4,,,
19,16-2ЯТУК,1.42,,,
18,ЯИЩАбв,4.4,,,
17,ЬПжЪФрбв,0.5,,,
16,ЗлЩАбв,4.1,,,
15,жаРљбв,2,,,
14,ДжЩАбв,10.13,,,
13,Фрбв,3.5,,,
12,жаРљбв,17.1,,,
11,16-3ЩЯУК,12.18,,,
10,Фрбв,4.83,,,
9,16-3жаУК,3.34,,,
8,Фрбв,3.6,,,
7,16-3УК,21.25,,,
6,Фрбв,0.5,,,
5,ЬПжЪФрбв,1.7,,,
4,жаРљбв,1,,,
3,Фрбв,10.4,,,
2,16-4УК,0.6,,,
1,Фрбв,15.2,,,
