ађКХ,УћГЦ,КёЖШ/m,ЕЏадФЃСП/Gpa,Шнжи/kN*m-3,ПЙР­ЧПЖШ/MPa
38,ИЏжГЭС,0.5,,,
37,жаЩАбв,94.5,,,
36,ЗлЩАбв,1.1,,,
35,жаРљбв,2,,,
34,ЗлЩАбв,12.25,,,
33,15-5ЯТУК,1.62,,,
32,ЬПжЪФрбв,0.57,,,
31,ЯИЩАбв,33.05,,,
30,ЩАжЪФрбв,0.5,,,
29,ЗлЩАбв,3.6,,,
28,жаРљбв,8.3,,,
27,ЗлЩАбв,9.3,,,
26,жаЩАбв,8.8,,,
25,КЌРљЗлЩАбв,7.6,,,
24,ЗлЩАбв,9.1,,,
23,15-7УК,2.7,,,
22,ЗлЩАбв,19.7,,,
21,жаРљбв,8.7,,,
20,ЯИЩАбв,15.5,,,
19,ЬПжЪФрбв,1,,,
18,ЗлЩАбв,1.13,,,
17,16-1УК,0.54,,,
16,ЬПжЪФрбв,1.06,,,
15,ЗлЩАбв,31.98,,,
14,ЬПжЪФрбв,0.38,,,
13,ЗлЩАбв,11.72,,,
12,16-2ЯТУК,0.4,,,
11,ЗлЩАбв,12.9,,,
10,ЯИЩАбв,7.85,,,
9,ЗлЩАбв,4.3,,,
8,ЬПжЪФрбв,0.5,,,
7,ЗлЩАбв,26.53,,,
6,16-3ЩЯУК,12.08,,,
5,ЗлЩАбв,4.11,,,
4,Фрбв,0.55,,,
3,ЗлЩАбв,6.7,,,
2,16-3УК,15.5,,,
1,ЗлЩАбв,7.5,,,
