ађКХ,УћГЦ,КёЖШ/m,ЕЏадФЃСП/Gpa,Шнжи/kN*m-3,ПЙР­ЧПЖШ/MPa
38,ИЏжГЭС,0.8,,,
37,ЯИЩАбв,46.2,,,
36,ЩАРљбв,20.55,,,
35,ЗлЩАбв,6.2,,,
34,ЩАжЪРљбв,10.2,,,
33,Фрбв,14.35,,,
32,15-5ЯТУК,0.4,,,
31,Фрбв,22.9,,,
30,ЯИЩАбв,6.3,,,
29,Фрбв,2.5,,,
28,жаРљбв,8,,,
27,Фрбв,3.1,,,
26,ЬПжЪФрбв,0.5,,,
25,ЗлЩАбв,4.75,,,
24,Фрбв,8.45,,,
23,жаРљбв,8,,,
22,Фрбв,12.6,,,
21,ЬПжЪФрбв,0.2,,,
20,Фрбв,3.2,,,
19,ЗлЩАбв,13.9,,,
18,Фрбв,13,,,
17,ЗлЩАбв,23.15,,,
16,ЯИЩАбв,0.5,,,
15,ЗлЩАбв,9.35,,,
14,Фрбв,18.6,,,
13,ЗлЩАбв,9.25,,,
12,ЯИЩАбв,15.9,,,
11,Фрбв,10.9,,,
10,16-3ЩЯ2УК,3.4,,,
9,Фрбв,3.2,,,
8,ЗлЩАбв,2.45,,,
7,16-3ЩЯ1УК,1.75,,,
6,ЬПжЪФрбв,0.45,,,
5,ЗлЩАбв,4.85,,,
4,16-3жаУК,7.65,,,
3,ЗлЩАбв,7.15,,,
2,16-3УК,19.1,,,
1,Фрбв,3.8,,,
