ађКХ,УћГЦ,КёЖШ/m,ЕЏадФЃСП/Gpa,Шнжи/kN*m-3,ПЙР­ЧПЖШ/MPa
81,ЛЦЭС,12.5,,,
80,ЩАРљбв,4.45,,,
79,ЯИЩАбв,11.1,,,
78,ЩАРљбв,7.85,,,
77,Фрбв,2.7,,,
76,ЩАРљбв,5.85,,,
75,ЩАжЪФрбв,3.35,,,
74,ЩАРљбв,3.5,,,
73,ЩАжЪФрбв,26.16,,,
72,15-1УК,1.16,,,
71,ЬПжЪФрбв,3.33,,,
70,ЩАжЪФрбв,26.7,,,
69,Фрбв,1.4,,,
68,ЩАРљбв,2.8,,,
67,ЬПжЪФрбв,0.45,,,
66,ЩАжЪФрбв,14.42,,,
65,УК,0.75,,,
64,ЩАжЪФрбв,8.63,,,
63,УК,0.4,,,
62,ЬПжЪФрбв,14.7,,,
61,УК,1,,,
60,ЩАжЪФрбв,4,,,
59,ЩАРљбв,7.2,,,
58,ЗлЩАбв,12.5,,,
57,Фрбв,2.35,,,
56,ЩАРљбв,8.55,,,
55,ЗлЩАбв,21.95,,,
54,жаЩАбв,2.2,,,
53,ЩАжЪФрбв,8.7,,,
52,ЯИЩАбв,2.5,,,
51,ЩАжЪФрбв,9.3,,,
50,ЯИЩАбв,1.35,,,
49,ЩАжЪФрбв,3.8,,,
48,ЯИЩАбв,6.15,,,
47,ЗлЩАбв,9.95,,,
46,ЩАжЪФрбв,1.03,,,
45,УК,1.21,,,
44,ЩАжЪФрбв,1.06,,,
43,ЗлЩАбв,6.15,,,
42,Фрбв,2.6,,,
41,ЩАРљбв,9.4,,,
40,ЯИЩАбв,7.1,,,
39,ЩАжЪФрбв,2.96,,,
38,15-7УК,1.39,,,
37,Фрбв,2.8,,,
36,ЩАРљбв,4.75,,,
35,ЗлЩАбв,4.45,,,
34,Фрбв,1.6,,,
33,ЩАРљбв,13.3,,,
32,ЯИЩАбв,23.55,,,
31,ЩАжЪФрбв,1.6,,,
30,ЯИЩАбв,1.4,,,
29,ЩАжЪФрбв,5.2,,,
28,ЯИЩАбв,3.1,,,
27,ЩАжЪФрбв,2.2,,,
26,ЯИЩАбв,32.5,,,
25,ЩАжЪФрбв,17.2,,,
24,УК,0.45,,,
23,ЩАжЪФрбв,11.5,,,
22,ЬПжЪФрбв,0.5,,,
21,ЩАжЪФрбв,3.6,,,
20,ЯИЩАбв,0.75,,,
19,ЩАжЪФрбв,3.77,,,
18,УК,1.11,,,
17,ЩАжЪФрбв,4.02,,,
16,ЬПжЪФрбв,0.45,,,
15,ЩАжЪФрбв,4.45,,,
14,ЗлЩАбв,3.9,,,
13,ЩАжЪФрбв,0.89,,,
12,УК,1.04,,,
11,ЩАжЪФрбв,5.07,,,
10,жаРљбв,0.65,,,
9,ЩАжЪФрбв,17.15,,,
8,УК,0.45,,,
7,ЩАжЪФрбв,5.8,,,
6,16-3ЩЯУК,5.07,,,
5,ЩАжЪФрбв,2.26,,,
4,16-3жаУК,1.42,,,
3,ЩАжЪФрбв,1.67,,,
2,16-3УК,20.67,,,
1,ЩАжЪФрбв,0.66,,,
