ађКХ,УћГЦ,КёЖШ/m,ЕЏадФЃСП/Gpa,Шнжи/kN*m-3,ПЙР­ЧПЖШ/MPa
74,ЯИЩАбв,61.37,,,
73,Фрбв,3.6,,,
72,УК,2.94,,,
71,ЩАжЪФрбв,1.5,,,
70,15-1ЩЯУК,7,,,
69,ЩАжЪФрбв,1.87,,,
68,15-1ЯТУК,1.44,,,
67,ЩАжЪФрбв,19.81,,,
66,ЯИЩАбв,3.14,,,
65,Рљбв,6.5,,,
64,ЩАжЪФрбв,0.85,,,
63,15-2УК,7.95,,,
62,Фрбв,2.13,,,
61,Рљбв,33.79,,,
60,ЗлЩАбв,2.9,,,
59,ЩАжЪФрбв,4.29,,,
58,15-4УК,3.36,,,
57,Фрбв,3.67,,,
56,Рљбв,20.02,,,
55,ЗлЩАбв,10.61,,,
54,ЩАжЪФрбв,0.38,,,
53,15-5ЯТУК,8.86,,,
52,ЩАжЪФрбв,1.33,,,
51,УК,0.55,,,
50,ЩАжЪФрбв,1.47,,,
49,УК,0.35,,,
48,ЩАжЪФрбв,4.91,,,
47,ЩАРљбв,2.65,,,
46,УК,1.89,,,
45,Фрбв,2.75,,,
44,ЗлЩАбв,8.59,,,
43,ЬПжЪФрбв,3.25,,,
42,Рљбв,5.34,,,
41,ЗлЩАбв,5.81,,,
40,ЩАжЪФрбв,1.5,,,
39,ЗлЩАбв,9.59,,,
38,ЩАжЪФрбв,12.87,,,
37,15-7УК,1.68,,,
36,ЩАжЪФрбв,13.79,,,
35,ЯИЩАбв,1.7,,,
34,ЩАРљбв,8.31,,,
33,УК,0.45,,,
32,Фрбв,0.84,,,
31,ЯИЩАбв,9.42,,,
30,ЩАжЪФрбв,4.26,,,
29,ДжЩАбв,3.03,,,
28,ЩАжЪФрбв,4.27,,,
27,ЗлЩАбв,5.85,,,
26,ЯИЩАбв,4.82,,,
25,ЩАжЪФрбв,4.29,,,
24,ЩАРљбв,17.34,,,
23,Фрбв,4.34,,,
22,ЗлЩАбв,1.45,,,
21,ЩАжЪФрбв,1.69,,,
20,Фрбв,1.79,,,
19,16-1УК,9.44,,,
18,ЩАжЪФрбв,9.07,,,
17,Фрбв,7.19,,,
16,ЩАРљбв,10.62,,,
15,ЩАжЪФрбв,8.14,,,
14,16-2ЩЯУК,3.3,,,
13,ЩАжЪФрбв,3.37,,,
12,16-2ЯТУК,3.41,,,
11,ЩАжЪФрбв,12.89,,,
10,ДжЩАбв,1.28,,,
9,ЩАжЪФрбв,9.12,,,
8,ЗлЩАбв,1.12,,,
7,Фрбв,14.4,,,
6,ЗлЩАбв,1.6,,,
5,ЩАжЪФрбв,10.82,,,
4,ЯИЩАбв,6.5,,,
3,ЩАжЪФрбв,0.72,,,
2,16-3УК,40.08,,,
1,ЩАжЪФрбв,9.96,,,
