ађКХ,УћГЦ,КёЖШ/m,ЕЏадФЃСП/Gpa,Шнжи/kN*m-3,ПЙР­ЧПЖШ/MPa
79,ЛЦЭС,14.15,,,
78,ЩАбв№ЄЭС,14.85,,,
77,ЩАРљбв,45.5,,,
76,ЯИЩАбв,1.65,,,
75,ЗлЩАбв,2.75,,,
74,ЩАРљбв,35.8,,,
73,ЯИЩАбв,7.02,,,
72,УК,1.13,,,
71,Фрбв,1.68,,,
70,УК,3.7,,,
69,Фрбв,2.66,,,
68,ЩАжЪФрбв,22.58,,,
67,УК,3.74,,,
66,ЗлЩАбв,16.07,,,
65,Рљбв,15.95,,,
64,ДжЩАбв,4.53,,,
63,Рљбв,1.45,,,
62,УК,5.43,,,
61,Фрбв,1.87,,,
60,УК,4.4,,,
59,ЩАжЪФрбв,5,,,
58,Рљбв,4.31,,,
57,ЩАжЪФрбв,9.17,,,
56,Рљбв,25.96,,,
55,УК,1.86,,,
54,ЩАжЪФрбв,4.24,,,
53,УК,2.46,,,
52,Рљбв,3.2,,,
51,ЗлЩАбв,6.4,,,
50,Фрбв,10.59,,,
49,УК,2.38,,,
48,Рљбв,5.19,,,
47,УК,2.49,,,
46,ЩАжЪФрбв,6.73,,,
45,УК,0.8,,,
44,ЩАжЪФрбв,11.16,,,
43,УК,0.73,,,
42,ЩАжЪФрбв,3.32,,,
41,УК,2.17,,,
40,ЩАжЪФрбв,5.4,,,
39,УК,1.74,,,
38,ЯИЩАбв,6.79,,,
37,Рљбв,11.28,,,
36,УК,1.72,,,
35,Рљбв,5.08,,,
34,ЯИЩАбв,9.1,,,
33,Фрбв,12.01,,,
32,ЯИЩАбв,5.83,,,
31,УК,0.71,,,
30,ЗлЩАбв,5.98,,,
29,УК,6.2,,,
28,ЗлЩАбв,9.23,,,
27,Рљбв,2.87,,,
26,УК,0.71,,,
25,Рљбв,1.64,,,
24,ЗлЩАбв,0.9,,,
23,УК,3.95,,,
22,ЩАжЪФрбв,17.61,,,
21,Рљбв,22.69,,,
20,ЯИЩАбв,9,,,
19,ЩАжЪФрбв,18.71,,,
18,УК,4.09,,,
17,ЩАжЪФрбв,1.07,,,
16,УК,5.06,,,
15,ЗлЩАбв,5.48,,,
14,ЩАжЪФрбв,4.87,,,
13,УК,4.01,,,
12,ЩАжЪФрбв,4.24,,,
11,16-2УК,4.01,,,
10,ЗлЩАбв,7.19,,,
9,УК,1.76,,,
8,ЩАжЪФрбв,1.2,,,
7,УК,1.61,,,
6,ЩАжЪФрбв,6.32,,,
5,УК,1.67,,,
4,ЩАжЪФрбв,1.2,,,
3,16-3УК,39.9,,,
2,ЩАжЪФрбв,4.23,,,
1,Фрбв,7.8,,,
