ађКХ,УћГЦ,КёЖШ/m,ЕЏадФЃСП/Gpa,Шнжи/kN*m-3,ПЙР­ЧПЖШ/MPa
78,Рљбв,57.5,,,
77,жаЩАбв,1.22,,,
76,Фрбв,1.92,,,
75,15-1ЩЯУК,4.89,,,
74,Фрбв,6.17,,,
73,ЩАжЪФрбв,11.38,,,
72,15-1ЯТУК,4.15,,,
71,ЯИЩАбв,6.5,,,
70,ЬПжЪФрбв,0.29,,,
69,ЩАжЪФрбв,5.23,,,
68,жаЩАбв,1.88,,,
67,ЩАжЪФрбв,7.38,,,
66,Рљбв,2.41,,,
65,ЩАРљбв,14.76,,,
64,15-2УК,3.86,,,
63,ЩАжЪФрбв,1.23,,,
62,15-3УК,3.8,,,
61,ЩАжЪФрбв,2.29,,,
60,Рљбв,2,,,
59,ЩАРљбв,36.99,,,
58,ЯИЩАбв,4.62,,,
57,ЩАжЪФрбв,0.19,,,
56,15-4УК,4.17,,,
55,ЩАжЪФрбв,0.27,,,
54,Рљбв,4.67,,,
53,Фрбв,4.66,,,
52,ЩАРљбв,19.47,,,
51,15-5ЩЯУК,9.32,,,
50,ЩАжЪФрбв,4.37,,,
49,УК,0.8,,,
48,Фрбв,6,,,
47,УК,6.65,,,
46,Фрбв,7.46,,,
45,ЯИЩАбв,9.3,,,
44,Рљбв,2.35,,,
43,УК,0.69,,,
42,ЩАжЪФрбв,6.21,,,
41,ЩАРљбв,18.54,,,
40,Рљбв,1.02,,,
39,ЩАжЪФрбв,5.45,,,
38,УК,5.21,,,
37,ЩАжЪФрбв,2.31,,,
36,ЩАРљбв,16.25,,,
35,УК,1.93,,,
34,ЩАжЪФрбв,1.19,,,
33,Рљбв,1,,,
32,ЯИЩАбв,7.5,,,
31,ЩАРљбв,9.28,,,
30,ЗлЩАбв,8,,,
29,Рљбв,22.88,,,
28,ЩАжЪФрбв,6.73,,,
27,16-1УК,8.14,,,
26,Фрбв,2.45,,,
25,УК,0.85,,,
24,ЩАжЪФрбв,0.7,,,
23,УК,1.87,,,
22,ЩАжЪФрбв,0.75,,,
21,УК,1.75,,,
20,ЩАжЪФрбв,1.26,,,
19,ЗлЩАбв,3.92,,,
18,ЯИЩАбв,1.82,,,
17,Фрбв,1,,,
16,16-2ЩЯУК,1.88,,,
15,ЩАжЪФрбв,0.56,,,
14,ЗлЩАбв,4.29,,,
13,УК,1.68,,,
12,ЩАжЪФрбв,0.95,,,
11,16-2ЯТУК,3.25,,,
10,ЩАжЪФрбв,2.58,,,
9,ЯИЩАбв,1.83,,,
8,ДжЩАбв,13.73,,,
7,ЯИЩАбв,9.4,,,
6,ДжРљбв,2.02,,,
5,ЯИЩАбв,2.72,,,
4,ЗлЩАбв,13.52,,,
3,ЩАжЪФрбв,11.47,,,
2,16-3УК,33.48,,,
1,ЩАжЪФрбв,11,,,
