ађКХ,УћГЦ,КёЖШ/m,ЕЏадФЃСП/Gpa,Шнжи/kN*m-3,ПЙР­ЧПЖШ/MPa
33,ИЏжГЭС,0.5,,,
32,ЯИЩАбв,39.3,,,
31,№ЄЭС,9.1,,,
30,ЩАРљбв,9.05,,,
29,ЗлЩАбв,10.05,,,
28,Фрбв,5.6,,,
27,УК,0.4,,,
26,Фрбв,38.8,,,
25,Рљбв,38,,,
24,УК,0.4,,,
23,Рљбв,72.15,,,
22,Фрбв,9.4,,,
21,ЗлЩАбв,4.5,,,
20,жаРљбв,9.3,,,
19,ЗлЩАжЪФрбв,16.45,,,
18,УК,0.5,,,
17,Фрбв,10.65,,,
16,жаРљбв,55.25,,,
15,ЗлЩАбв,34.6,,,
14,ЬПжЪФрбв,1,,,
13,ЗлЩАбв,2.2,,,
12,ЬПжЪФрбв,0.8,,,
11,УК,1.3,,,
10,ЗлЩАбв,15.3,,,
9,УК,0.2,,,
8,ЗлЩАбв,12.2,,,
7,ЗлЩАбв,2.5,,,
6,ЬПжЪФрбв,0.8,,,
5,ЗлЩАбв,2,,,
4,16-3жаУК,0.6,,,
3,ЗлЩАжЪФрбв,1.6,,,
2,16-3УК,25.5,,,
1,Фрбв,4.25,,,
