ађКХ,УћГЦ,КёЖШ/m,ЕЏадФЃСП/Gpa,Шнжи/kN*m-3,ПЙР­ЧПЖШ/MPa
42,ИЏжГЭС,0.65,,,
41,ЯИЩАбв,5.65,,,
40,ЩАРљбв,28.35,,,
39,№ЄЭС,38.75,,,
38,жаРљбв,6.4,,,
37,ЗлЩАбв,16.5,,,
36,ЬПжЪФрбв,0.4,,,
35,Фрбв,15.25,,,
34,15-1ЩЯУК,0.8,,,
33,Фрбв,26.65,,,
32,15-1ЯТУК,0.5,,,
31,ЬПжЪФрбв,0.7,,,
30,ЗлЩАбв,19,,,
29,15-3УК,0.6,,,
28,ЗлЩАбв,25.6,,,
27,15-4УК,0.5,,,
26,ДжЩАбв,13.3,,,
25,Фрбв,16.6,,,
24,ЗлЩАбв,35.2,,,
23,жаРљбв,0.6,,,
22,ДжЩАбв,33.85,,,
21,Фрбв,33.95,,,
20,ЬПжЪФрбв,0.4,,,
19,ЗлЩАбв,48.1,,,
18,жаРљбв,10.2,,,
17,ЗлЩАбв,2,,,
16,КЌРљДжЩАбв,12.1,,,
15,Фрбв,22.9,,,
14,ЬПжЪФрбв,0.6,,,
13,ЗлЩАбв,20.1,,,
12,УК,0.8,,,
11,Фрбв,9.1,,,
10,16-2ЯТУК,0.6,,,
9,Фрбв,13.1,,,
8,16-3ЩЯУК,0.4,,,
7,Фрбв,18.25,,,
6,ЬПжЪФрбв,0.45,,,
5,16-3жаУК,4.05,,,
4,Фрбв,2,,,
3,ЬПжЪФрбв,4.1,,,
2,16-3УК,20,,,
1,ЗлЩАбв,31,,,
