ађКХ,УћГЦ,КёЖШ/m,ЕЏадФЃСП/Gpa,Шнжи/kN*m-3,ПЙР­ЧПЖШ/MPa
84,ЛЦЭС,21.9,,,
83,ЩАРљбв,25.1,,,
82,ЗлЩАбв,6.55,,,
81,ЩАжЪФрбв,2.4,,,
80,15-1ЩЯУК,0.8,,,
79,ЩАжЪФрбв,7.55,,,
78,ЯИЩАбв,11.5,,,
77,15-1УК,2.21,,,
76,ЩАжЪФрбв,4.32,,,
75,ЗлЩАбв,28.9,,,
74,ЩАРљбв,5.2,,,
73,ЩАжЪФрбв,1.69,,,
72,УК,2.61,,,
71,ЗлЩАбв,11.81,,,
70,15-3УК,1.09,,,
69,ЬПжЪФрбв,7.25,,,
68,Фрбв,7.8,,,
67,ЩАРљбв,16.55,,,
66,ЩАжЪФрбв,14.65,,,
65,ЩАРљбв,7.85,,,
64,15-4УК,0.35,,,
63,ЩАжЪФрбв,1.55,,,
62,ЗлЩАбв,7.8,,,
61,ЩАжЪФрбв,6.25,,,
60,15-5УК,0.45,,,
59,ЩАжЪФрбв,32.1,,,
58,ЯИЩАбв,19.85,,,
57,Фрбв,1.85,,,
56,ЩАРљбв,7.45,,,
55,ЩАжЪФрбв,2.8,,,
54,ЩАРљбв,1.3,,,
53,15-6УК,0.4,,,
52,ЩАжЪФрбв,3,,,
51,ЩАРљбв,10.35,,,
50,ЗлЩАбв,1.85,,,
49,Фрбв,2.2,,,
48,ЩАРљбв,3.95,,,
47,ЗлЩАбв,9.85,,,
46,ЩАжЪФрбв,3.04,,,
45,15-7УК,1.42,,,
44,Фрбв,1.39,,,
43,ЩАРљбв,7.3,,,
42,ЩАжЪФрбв,4.95,,,
41,Фрбв,4.65,,,
40,ЩАРљбв,16.9,,,
39,ЗлЩАбв,3.5,,,
38,ЬПжЪФрбв,0.25,,,
37,ЗлЩАбв,7.05,,,
36,ЬПжЪФрбв,1.15,,,
35,ЗлЩАбв,4.7,,,
34,УК,0.65,,,
33,ЗлЩАбв,4.65,,,
32,ЯИЩАбв,4.9,,,
31,ЗлЩАбв,10.6,,,
30,УК,0.66,,,
29,ЯИЩАбв,1.44,,,
28,Фрбв,3.65,,,
27,ЩАжЪФрбв,8.45,,,
26,ЬПжЪФрбв,5,,,
25,ЯИЩАбв,11.3,,,
24,ЩАРљбв,1.3,,,
23,ЯИЩАбв,5.25,,,
22,ЩАжЪФрбв,4.35,,,
21,ЩАРљбв,0.5,,,
20,ЩАжЪФрбв,5.85,,,
19,ЯИЩАбв,0.8,,,
18,ЗлЩАбв,9.3,,,
17,ЩАжЪФрбв,2.8,,,
16,ЗлЩАбв,5.5,,,
15,ЬПжЪФрбв,4.84,,,
14,ЩАжЪФрбв,4.12,,,
13,УК,0.52,,,
12,ЩАжЪФрбв,3.31,,,
11,16-2ЩЯУК,4.02,,,
10,ЩАжЪФрбв,2.25,,,
9,16-2ЯТУК,2.1,,,
8,ЬПжЪФрбв,0.45,,,
7,ЩАжЪФрбв,3.1,,,
6,16-3ЩЯУК,11.89,,,
5,ЩАжЪФрбв,4.18,,,
4,16-3жаУК,8.25,,,
3,ЬПжЪФрбв,0.33,,,
2,16-3УК,23.27,,,
1,Фрбв,6.96,,,
